image_path,label
processed_images\angry_Training_10120469.jpg_0.jpg,angry
processed_images\angry_Training_10161559.jpg_0.jpg,angry
processed_images\angry_Training_1021836.jpg_0.jpg,angry
processed_images\angry_Training_10269675.jpg_0.jpg,angry
processed_images\angry_Training_10278738.jpg_0.jpg,angry
processed_images\angry_Training_10290703.jpg_0.jpg,angry
processed_images\angry_Training_10295477.jpg_0.jpg,angry
processed_images\angry_Training_10315441.jpg_0.jpg,angry
processed_images\angry_Training_10316849.jpg_0.jpg,angry
processed_images\angry_Training_10334355.jpg_0.jpg,angry
processed_images\angry_Training_10345473.jpg_0.jpg,angry
processed_images\angry_Training_10422050.jpg_0.jpg,angry
processed_images\angry_Training_10485618.jpg_0.jpg,angry
processed_images\angry_Training_10503476.jpg_0.jpg,angry
processed_images\angry_Training_10524198.jpg_0.jpg,angry
processed_images\angry_Training_10592361.jpg_0.jpg,angry
processed_images\angry_Training_10595751.jpg_0.jpg,angry
processed_images\angry_Training_10608067.jpg_0.jpg,angry
processed_images\angry_Training_10740356.jpg_0.jpg,angry
processed_images\angry_Training_10851653.jpg_0.jpg,angry
processed_images\angry_Training_10857340.jpg_0.jpg,angry
processed_images\angry_Training_10967257.jpg_0.jpg,angry
processed_images\angry_Training_11175213.jpg_0.jpg,angry
processed_images\angry_Training_11185740.jpg_0.jpg,angry
processed_images\angry_Training_1119091.jpg_0.jpg,angry
processed_images\angry_Training_11247006.jpg_0.jpg,angry
processed_images\angry_Training_11262281.jpg_0.jpg,angry
processed_images\angry_Training_1127865.jpg_0.jpg,angry
processed_images\angry_Training_11292723.jpg_0.jpg,angry
processed_images\angry_Training_11306820.jpg_0.jpg,angry
processed_images\angry_Training_11319077.jpg_0.jpg,angry
processed_images\angry_Training_11330391.jpg_0.jpg,angry
processed_images\angry_Training_11350676.jpg_0.jpg,angry
processed_images\angry_Training_11359731.jpg_0.jpg,angry
processed_images\angry_Training_11393282.jpg_0.jpg,angry
processed_images\angry_Training_11478843.jpg_0.jpg,angry
processed_images\angry_Training_11566408.jpg_0.jpg,angry
processed_images\angry_Training_11576563.jpg_0.jpg,angry
processed_images\angry_Training_11666709.jpg_0.jpg,angry
processed_images\angry_Training_11713762.jpg_0.jpg,angry
processed_images\angry_Training_1173634.jpg_0.jpg,angry
processed_images\angry_Training_11749309.jpg_0.jpg,angry
processed_images\angry_Training_11769870.jpg_0.jpg,angry
processed_images\angry_Training_11770015.jpg_0.jpg,angry
processed_images\angry_Training_11808005.jpg_0.jpg,angry
processed_images\angry_Training_11820572.jpg_0.jpg,angry
processed_images\angry_Training_1184435.jpg_0.jpg,angry
processed_images\angry_Training_11860503.jpg_0.jpg,angry
processed_images\angry_Training_11888118.jpg_0.jpg,angry
processed_images\angry_Training_11917747.jpg_0.jpg,angry
processed_images\angry_Training_1193977.jpg_0.jpg,angry
processed_images\angry_Training_11940623.jpg_0.jpg,angry
processed_images\angry_Training_11947615.jpg_0.jpg,angry
processed_images\angry_Training_11954904.jpg_0.jpg,angry
processed_images\angry_Training_11990539.jpg_0.jpg,angry
processed_images\angry_Training_12006812.jpg_0.jpg,angry
processed_images\angry_Training_12075336.jpg_0.jpg,angry
processed_images\angry_Training_12091917.jpg_0.jpg,angry
processed_images\angry_Training_12095508.jpg_0.jpg,angry
processed_images\angry_Training_12095988.jpg_0.jpg,angry
processed_images\angry_Training_12155031.jpg_0.jpg,angry
processed_images\angry_Training_12168970.jpg_0.jpg,angry
processed_images\angry_Training_12172696.jpg_0.jpg,angry
processed_images\angry_Training_12216843.jpg_0.jpg,angry
processed_images\angry_Training_12391352.jpg_0.jpg,angry
processed_images\angry_Training_12407292.jpg_0.jpg,angry
processed_images\angry_Training_12409483.jpg_0.jpg,angry
processed_images\angry_Training_12450586.jpg_0.jpg,angry
processed_images\angry_Training_12469031.jpg_0.jpg,angry
processed_images\angry_Training_12513174.jpg_0.jpg,angry
processed_images\angry_Training_12565431.jpg_0.jpg,angry
processed_images\angry_Training_12604769.jpg_0.jpg,angry
processed_images\angry_Training_12675274.jpg_0.jpg,angry
processed_images\angry_Training_12686673.jpg_0.jpg,angry
processed_images\angry_Training_12695814.jpg_0.jpg,angry
processed_images\angry_Training_12775696.jpg_0.jpg,angry
processed_images\angry_Training_12776681.jpg_0.jpg,angry
processed_images\angry_Training_12812647.jpg_0.jpg,angry
processed_images\angry_Training_12837353.jpg_0.jpg,angry
processed_images\angry_Training_12861782.jpg_0.jpg,angry
processed_images\angry_Training_12890896.jpg_0.jpg,angry
processed_images\angry_Training_1294170.jpg_0.jpg,angry
processed_images\angry_Training_12961021.jpg_0.jpg,angry
processed_images\angry_Training_12974019.jpg_0.jpg,angry
processed_images\angry_Training_13064272.jpg_0.jpg,angry
processed_images\angry_Training_13081843.jpg_0.jpg,angry
processed_images\angry_Training_13196511.jpg_0.jpg,angry
processed_images\angry_Training_13221971.jpg_0.jpg,angry
processed_images\angry_Training_13282534.jpg_0.jpg,angry
processed_images\angry_Training_1329550.jpg_0.jpg,angry
processed_images\angry_Training_13489272.jpg_0.jpg,angry
processed_images\angry_Training_13521344.jpg_0.jpg,angry
processed_images\angry_Training_13659242.jpg_0.jpg,angry
processed_images\angry_Training_13677471.jpg_0.jpg,angry
processed_images\angry_Training_13742442.jpg_0.jpg,angry
processed_images\angry_Training_13782684.jpg_0.jpg,angry
processed_images\angry_Training_13790669.jpg_0.jpg,angry
processed_images\angry_Training_13898081.jpg_0.jpg,angry
processed_images\angry_Training_13965818.jpg_0.jpg,angry
processed_images\angry_Training_13994952.jpg_0.jpg,angry
processed_images\angry_Training_13997003.jpg_0.jpg,angry
processed_images\angry_Training_1409194.jpg_0.jpg,angry
processed_images\angry_Training_14151520.jpg_0.jpg,angry
processed_images\angry_Training_14169607.jpg_0.jpg,angry
processed_images\angry_Training_14215476.jpg_0.jpg,angry
processed_images\angry_Training_14227929.jpg_0.jpg,angry
processed_images\angry_Training_1424656.jpg_0.jpg,angry
processed_images\angry_Training_14248179.jpg_0.jpg,angry
processed_images\angry_Training_14248217.jpg_0.jpg,angry
processed_images\angry_Training_1426440.jpg_0.jpg,angry
processed_images\angry_Training_14291798.jpg_0.jpg,angry
processed_images\angry_Training_14296537.jpg_0.jpg,angry
processed_images\angry_Training_143373.jpg_0.jpg,angry
processed_images\angry_Training_14340905.jpg_0.jpg,angry
processed_images\angry_Training_14383356.jpg_0.jpg,angry
processed_images\angry_Training_14399797.jpg_0.jpg,angry
processed_images\angry_Training_14485990.jpg_0.jpg,angry
processed_images\angry_Training_14519925.jpg_0.jpg,angry
processed_images\angry_Training_14525872.jpg_0.jpg,angry
processed_images\angry_Training_14530363.jpg_0.jpg,angry
processed_images\angry_Training_14532305.jpg_0.jpg,angry
processed_images\angry_Training_14570127.jpg_0.jpg,angry
processed_images\angry_Training_14619449.jpg_0.jpg,angry
processed_images\angry_Training_14621559.jpg_0.jpg,angry
processed_images\angry_Training_14636525.jpg_0.jpg,angry
processed_images\angry_Training_14641612.jpg_0.jpg,angry
processed_images\angry_Training_14690040.jpg_0.jpg,angry
processed_images\angry_Training_14713134.jpg_0.jpg,angry
processed_images\angry_Training_14754797.jpg_0.jpg,angry
processed_images\angry_Training_1477608.jpg_0.jpg,angry
processed_images\angry_Training_14776502.jpg_0.jpg,angry
processed_images\angry_Training_14820944.jpg_0.jpg,angry
processed_images\angry_Training_14848707.jpg_0.jpg,angry
processed_images\angry_Training_14849067.jpg_0.jpg,angry
processed_images\angry_Training_14869777.jpg_0.jpg,angry
processed_images\angry_Training_14883276.jpg_0.jpg,angry
processed_images\angry_Training_14909933.jpg_0.jpg,angry
processed_images\angry_Training_14918881.jpg_0.jpg,angry
processed_images\angry_Training_14954004.jpg_0.jpg,angry
processed_images\angry_Training_14976970.jpg_0.jpg,angry
processed_images\angry_Training_1500617.jpg_0.jpg,angry
processed_images\angry_Training_15058314.jpg_0.jpg,angry
processed_images\angry_Training_15081195.jpg_0.jpg,angry
processed_images\angry_Training_15127879.jpg_0.jpg,angry
processed_images\angry_Training_15150679.jpg_0.jpg,angry
processed_images\angry_Training_15197146.jpg_0.jpg,angry
processed_images\angry_Training_15272626.jpg_0.jpg,angry
processed_images\angry_Training_15311033.jpg_0.jpg,angry
processed_images\angry_Training_15337964.jpg_0.jpg,angry
processed_images\angry_Training_15343190.jpg_0.jpg,angry
processed_images\angry_Training_15351749.jpg_0.jpg,angry
processed_images\angry_Training_15429801.jpg_0.jpg,angry
processed_images\angry_Training_15458095.jpg_0.jpg,angry
processed_images\angry_Training_15462493.jpg_0.jpg,angry
processed_images\angry_Training_15484575.jpg_0.jpg,angry
processed_images\angry_Training_1553426.jpg_0.jpg,angry
processed_images\angry_Training_15570158.jpg_0.jpg,angry
processed_images\angry_Training_1559786.jpg_0.jpg,angry
processed_images\angry_Training_15653607.jpg_0.jpg,angry
processed_images\angry_Training_15671299.jpg_0.jpg,angry
processed_images\angry_Training_15693625.jpg_0.jpg,angry
processed_images\angry_Training_15729526.jpg_0.jpg,angry
processed_images\angry_Training_15752571.jpg_0.jpg,angry
processed_images\angry_Training_15784307.jpg_0.jpg,angry
processed_images\angry_Training_15812721.jpg_0.jpg,angry
processed_images\angry_Training_1589886.jpg_0.jpg,angry
processed_images\angry_Training_15933141.jpg_0.jpg,angry
processed_images\angry_Training_15990816.jpg_0.jpg,angry
processed_images\angry_Training_16024594.jpg_0.jpg,angry
processed_images\angry_Training_16052786.jpg_0.jpg,angry
processed_images\angry_Training_161824.jpg_0.jpg,angry
processed_images\angry_Training_16232328.jpg_0.jpg,angry
processed_images\angry_Training_16259740.jpg_0.jpg,angry
processed_images\angry_Training_16288109.jpg_0.jpg,angry
processed_images\angry_Training_16288280.jpg_0.jpg,angry
processed_images\angry_Training_16305966.jpg_0.jpg,angry
processed_images\angry_Training_16322300.jpg_0.jpg,angry
processed_images\angry_Training_16385944.jpg_0.jpg,angry
processed_images\angry_Training_16439151.jpg_0.jpg,angry
processed_images\angry_Training_1648016.jpg_0.jpg,angry
processed_images\angry_Training_16526420.jpg_0.jpg,angry
processed_images\angry_Training_16527960.jpg_0.jpg,angry
processed_images\angry_Training_16533492.jpg_0.jpg,angry
processed_images\angry_Training_16567582.jpg_0.jpg,angry
processed_images\angry_Training_16594897.jpg_0.jpg,angry
processed_images\angry_Training_16615632.jpg_0.jpg,angry
processed_images\angry_Training_16622790.jpg_0.jpg,angry
processed_images\angry_Training_16636429.jpg_0.jpg,angry
processed_images\angry_Training_16728602.jpg_0.jpg,angry
processed_images\angry_Training_16734586.jpg_0.jpg,angry
processed_images\angry_Training_16765414.jpg_0.jpg,angry
processed_images\angry_Training_1677103.jpg_0.jpg,angry
processed_images\angry_Training_16780637.jpg_0.jpg,angry
processed_images\angry_Training_16813100.jpg_0.jpg,angry
processed_images\angry_Training_16828779.jpg_0.jpg,angry
processed_images\angry_Training_16863168.jpg_0.jpg,angry
processed_images\angry_Training_16882248.jpg_0.jpg,angry
processed_images\angry_Training_16902014.jpg_0.jpg,angry
processed_images\angry_Training_16968141.jpg_0.jpg,angry
processed_images\angry_Training_16971260.jpg_0.jpg,angry
processed_images\angry_Training_17026096.jpg_0.jpg,angry
processed_images\angry_Training_1705134.jpg_0.jpg,angry
processed_images\angry_Training_17201713.jpg_0.jpg,angry
processed_images\angry_Training_17258244.jpg_0.jpg,angry
processed_images\angry_Training_17316378.jpg_0.jpg,angry
processed_images\angry_Training_17363681.jpg_0.jpg,angry
processed_images\angry_Training_17363830.jpg_0.jpg,angry
processed_images\angry_Training_17389803.jpg_0.jpg,angry
processed_images\angry_Training_17399121.jpg_0.jpg,angry
processed_images\angry_Training_1741870.jpg_0.jpg,angry
processed_images\angry_Training_17427197.jpg_0.jpg,angry
processed_images\angry_Training_17428065.jpg_0.jpg,angry
processed_images\angry_Training_17437121.jpg_0.jpg,angry
processed_images\angry_Training_17448768.jpg_0.jpg,angry
processed_images\angry_Training_17450738.jpg_0.jpg,angry
processed_images\angry_Training_17526342.jpg_0.jpg,angry
processed_images\angry_Training_17526951.jpg_0.jpg,angry
processed_images\angry_Training_17600441.jpg_0.jpg,angry
processed_images\angry_Training_17608684.jpg_0.jpg,angry
processed_images\angry_Training_17664633.jpg_0.jpg,angry
processed_images\angry_Training_17667401.jpg_0.jpg,angry
processed_images\angry_Training_17682275.jpg_0.jpg,angry
processed_images\angry_Training_17690552.jpg_0.jpg,angry
processed_images\angry_Training_17775115.jpg_0.jpg,angry
processed_images\angry_Training_17796854.jpg_0.jpg,angry
